Ward Code 1,Ward Name 1,All Ages
E05000779,Bramhall North,"12,807"
E05000780,Bramhall South and Woodford,"12,507"
E05000781,Bredbury and Woodley,"13,241"
E05000782,Bredbury Green and Romiley,"14,294"
E05000783,Brinnington and Central,"17,622"
E05000784,Cheadle and Gatley,"15,413"
E05000785,Cheadle Hulme North,"13,444"
E05000786,Cheadle Hulme South,"14,195"
E05000787,Davenport and Cale Green,"15,854"
E05000788,Edgeley and Cheadle Heath,"14,764"
E05000789,Hazel Grove,"14,291"
E05000790,Heald Green,"12,724"
E05000791,Heatons North,"14,491"
E05000792,Heatons South,"14,270"
E05000793,Manor,"13,854"
E05000794,Marple North,"12,700"
E05000795,Marple South and High Lane,"11,512"
E05000796,Offerton,"14,153"
E05000797,Reddish North,"15,046"
E05000798,Reddish South,"13,759"
E05000799,Stepping Hill,"13,256"
E05000800,Ashton Hurst,"11,545"
E05000801,Ashton St Michael's,"12,635"
E05000802,Ashton Waterloo,"11,582"
E05000803,Audenshaw,"12,490"
E05000804,Denton North East,"11,112"
E05000805,Denton South,"10,982"
E05000806,Denton West,"11,117"
E05000807,Droylsden East,"12,302"
E05000808,Droylsden West,"11,123"
E05000809,Dukinfield,"12,832"
E05000810,Dukinfield Stalybridge,"10,880"
E05000811,Hyde Godley,"12,529"
E05000812,Hyde Newton,"14,819"
E05000813,Hyde Werneth,"11,608"
E05000814,Longdendale,"9,975"
E05000815,Mossley,"11,509"
E05000816,St Peter's,"13,996"
E05000817,Stalybridge North,"12,860"
E05000818,Stalybridge South,"11,221"
E05000819,Altrincham,"13,379"
E05000820,Ashton upon Mersey,"10,345"
E05000821,Bowdon,"9,285"
E05000822,Broadheath,"14,167"
E05000823,Brooklands,"10,809"
E05000824,Bucklow-St Martins,"10,445"
E05000825,Clifford,"12,792"
E05000826,Davyhulme East,"9,708"
E05000827,Davyhulme West,"10,040"
E05000828,Flixton,"10,633"
E05000829,Gorse Hill,"12,442"
E05000830,Hale Barns,"10,141"
E05000831,Hale Central,"10,858"
E05000832,Longford,"12,935"
E05000833,Priory,"11,954"
E05000834,St Mary's,"12,126"
E05000835,Sale Moor,"10,922"
E05000836,Stretford,"11,307"
E05000837,Timperley,"11,160"
E05000838,Urmston,"11,148"
E05000839,Village,"10,983"
E05000840,Abram,"15,909"
E05000841,Ashton,"12,018"
E05000842,Aspull New Springs Whelley,"13,065"
E05000843,Astley Mosley Common,"11,893"
E05000844,Atherleigh,"12,411"
E05000845,Atherton,"15,786"
E05000846,Bryn,"11,694"
E05000847,Douglas,"13,819"
E05000848,Golborne and Lowton West,"12,050"
E05000849,Hindley,"13,703"
E05000850,Hindley Green,"11,348"
E05000851,Ince,"14,547"
E05000852,Leigh East,"12,811"
E05000853,Leigh South,"14,388"
E05000854,Leigh West,"15,758"
E05000855,Lowton East,"13,338"
E05000856,Orrell,"12,244"
E05000857,Pemberton,"14,893"
E05000858,Shevington with Lower Ground,"11,513"
E05000859,Standish with Langtree,"12,832"
E05000860,Tyldesley,"14,920"
E05000861,Wigan Central,"12,317"
E05000862,Wigan West,"13,457"
E05000863,Winstanley,"11,776"
E05000864,Worsley Mesnes,"12,222"
E05000886,Allerton and Hunts Cross,"14,757"
E05000887,Anfield,"14,722"
E05000888,Belle Vale,"14,868"
E05000889,Central,"35,830"
E05000890,Childwall,"13,401"
E05000891,Church,"13,669"
E05000892,Clubmoor,"14,893"
E05000893,County,"14,079"
E05000894,Cressington,"15,247"
E05000895,Croxteth,"14,311"
E05000896,Everton,"16,839"
E05000897,Fazakerley,"16,195"
E05000898,Greenbank,"15,956"
E05000899,Kensington and Fairfield,"17,948"
E05000900,Kirkdale,"17,791"
E05000901,Knotty Ash,"12,973"
E05000902,Mossley Hill,"12,858"
E05000903,Norris Green,"18,483"
E05000904,Old Swan,"15,729"
E05000905,Picton,"19,987"
E05000906,Princes Park,"20,898"
E05000907,Riverside,"24,096"
E05000908,St Michael's,"12,773"
E05000909,Speke-Garston,"21,432"
E05000910,Tuebrook and Stoneycroft,"17,146"
E05000911,Warbreck,"16,013"
E05000912,Wavertree,"14,634"
E05000913,West Derby,"13,604"
E05000914,Woolton,"13,036"
E05000915,Yew Tree,"16,306"
E05000916,Billinge and Seneley Green,"10,368"
E05000917,Blackbrook,"10,102"
E05000918,Bold,"9,905"
E05000919,Earlestown,"12,220"
E05000920,Eccleston,"11,868"
E05000921,Haydock,"11,361"
E05000922,Moss Bank,"11,018"
E05000923,Newton,"12,731"
E05000924,Parr,"13,594"
E05000925,Rainford,"7,691"
E05000926,Rainhill,"10,894"
E05000927,Sutton,"11,835"
E05000928,Thatto Heath,"13,351"
E05000929,Town Centre,"11,665"
E05000930,West Park,"11,426"
E05000931,Windle,"11,066"
E05000932,Ainsdale,"12,784"
E05000933,Birkdale,"12,740"
E05000934,Blundellsands,"11,259"
E05000935,Cambridge,"12,346"
E05000936,Church,"11,880"
E05000937,Derby,"12,531"
E05000938,Duke's,"13,893"
E05000939,Ford,"12,786"
E05000940,Harington,"11,503"
E05000941,Kew,"13,354"
E05000942,Linacre,"13,328"
E05000943,Litherland,"11,844"
E05000944,Manor,"12,316"
E05000945,Meols,"12,169"
E05000946,Molyneux,"12,186"
E05000947,Netherton and Orrell,"12,868"
E05000948,Norwood,"15,237"
E05000949,Park,"11,429"
E05000950,Ravenmeols,"12,160"
E05000951,St Oswald,"11,499"
E05000952,Sudell,"12,444"
E05000953,Victoria,"13,343"
E05000954,Bebington,"15,669"
E05000955,Bidston and St James,"16,256"
E05000956,Birkenhead and Tranmere,"16,926"
E05000957,Bromborough,"16,427"
E05000958,Clatterbridge,"13,986"
E05000959,Claughton,"14,201"
E05000960,Eastham,"14,195"
E05000961,"Greasby, Frankby and Irby","13,728"
E05000962,Heswall,"13,126"
E05000963,Hoylake and Meols,"13,451"
E05000964,Leasowe and Moreton East,"15,086"
E05000965,Liscard,"16,086"
E05000966,Moreton West and Saughall Massie,"13,958"
E05000967,New Brighton,"15,162"
E05000968,Oxton,"13,784"
E05000969,Pensby and Thingwall,"13,024"
E05000970,Prenton,"14,786"
E05000971,Rock Ferry,"14,751"
E05000972,Seacombe,"15,609"
E05000973,Upton,"16,924"
E05000974,Wallasey,"14,658"
E05000975,West Kirby and Thurstaston,"12,543"
E05000976,Central,"12,715"
E05000977,Cudworth,"11,705"
E05000978,Darfield,"11,146"
E05000979,Darton East,"11,136"
E05000980,Darton West,"10,961"
E05000981,Dearne North,"11,361"
E05000982,Dearne South,"12,459"
E05000983,Dodworth,"10,621"
E05000984,Hoyland Milton,"12,260"
E05000985,Kingstone,"11,971"
E05000986,Monk Bretton,"12,141"
E05000987,North East,"13,714"
E05000988,Old Town,"11,280"
E05000989,Penistone East,"12,219"
E05000990,Penistone West,"12,889"
E05000991,Rockingham,"11,129"
E05000992,Royston,"11,409"
E05000993,St Helens,"11,141"
E05000994,Stairfoot,"12,843"
E05000995,Wombwell,"13,181"
E05000996,Worsbrough,"9,790"
E05001019,Boston Castle,"14,720"
E05001020,Brinsworth and Catcliffe,"12,468"
E05001022,Hellaby,"11,014"
E05001023,Holderness,"12,307"
